# responsive.governance.tsv — measured 768/375 behaviour for the `governance` section.
#
# WHY THIS FILE EXISTS, AND WHY IT IS NOT vverify.governance.tsv
# Section `governance` has 125 desktop Figma frames and ZERO at 768 or 375. There is
# no tablet/mobile frame to compare against, so these verdicts are NOT Figma-fidelity
# verdicts and MUST NOT be fed to apply-verify.mjs — that pipeline downgrades `done`
# to `partial` on a non-`match` verdict, which would be wrong here. Nothing in this
# file is a Figma comparison. Every verdict is a live render measurement.
# This file is deliberately wired to NO pipeline. It is read by humans.
#
# METHOD (state it, because a render outranks a code read)
# All rows measured by rendering PRODUCTION app.skai.trade in a real browser at
# 375x900 and 768x900, signed in, then reading getBoundingClientRect / scrollWidth /
# clientWidth and probing scrollability. Explorer routes carry no auth gate and were
# also confirmed to render anonymously. Every figure below is a measured px value,
# not an inference from a class string. Where a fixed width or a wide table LOOKED
# like a defect but measured clean, the row says so — five such candidates were
# cleared by a previous pass and are not re-litigated here.
#
# COLUMNS
#   row      line number in status.governance.tsv
#   node     Figma node id or section label from that row
#   route    route rendered (cite the route, never App.tsx line — 8 of 8 line refs
#            in status.governance.tsv are stale; all 13 routes still exist)
#   v375     verdict at 375  (verified-good | clipped-<px> | degraded | not-reached)
#   v768     verdict at 768
#   evidence measured numbers
#
# PROVENANCE, AND THE ONE WAY THESE NUMBERS GO STALE
# Every figure here was read from DEPLOYED production, not from the working tree.
# That is what makes them trustworthy about what users actually get, and it is also
# the one way they expire: a fix that has landed in source but not shipped will still
# measure broken here, and a surface that has been rewritten in source is described
# in its OLD shape. That already happened once during this lane — commit 53e434951
# rewrote the proposals list after these measurements were taken, so rows 50 and 51
# are marked `superseded` rather than silently left to read as current. Before acting
# on any row below, check whether the file it names has moved since this deploy.
#
# THRESHOLD. `hidden` = viewport scrollWidth minus clientWidth on the box that owns
# the page content. hidden <= 8px is inside the scrollbar-gutter/rounding band and is
# recorded as verified-good. Anything above it is content that a user cannot reach.
#
# ============================================================================
# ROOT CAUSE 1 — the Explorer's own overflow-x-auto wrappers are INERT.
# modules/skai-ui/src/components/layout/scroll-area.tsx:5-21 mounts <ScrollBar/> with
# no orientation, so only a VERTICAL scrollbar exists. Radix therefore renders the
# viewport with inline `overflow: hidden scroll` (overflow-x: hidden, measured) and
# gives the viewport's content wrapper the inline style `min-width: 100%; display:
# table;` (measured). `display: table` shrink-wraps to max-content, so every
# `overflow-x-auto` inside the explorer contributes its FULL max-content width to the
# page instead of scrolling — and the excess is then clipped by the hidden viewport,
# with no way to scroll to it. ExplorerLayout.tsx:134 is the single mount point.
# PROVEN BY MUTATION, not by reading: on /explorer/lending at 375, flipping that
# wrapper from display:table to display:block dropped the viewport scrollWidth from
# 976 to 367 and turned the Markets table's overflow-x-auto from
# {scrollWidth 862, clientWidth 862, scrolls:false} into
# {scrollWidth 862, clientWidth 253, scrolls:true}.
# The inline style means a Tailwind class cannot override it without !important.
# NOT FIXED HERE — this is @skai/ui, outside this lane. Reported, not touched.
#
# ROOT CAUSE 2 — at exactly 768 the explorer sidebar and the desktop table layouts
# switch on together, and the sidebar shrinks the box the tables just widened into.
# ExplorerNav is `hidden md:flex md:flex-col w-56 shrink-0` = 224px measured, and
# matchMedia('(min-width: 768px)') is true at 768. So the content box is 536px while
# every md: rule was authored for a 768px box. This is why /explorer/addresses is
# clean at 375 (mobile layout, 0px hidden) and BROKEN at 768 (157px hidden) — the
# narrower viewport is the one that works.
#
# ROOT CAUSE 3 — src/pages/defi/Governance.tsx:537-556. The 4-tab sub-nav is
# `<div className="flex justify-center"><TabsList className="inline-flex h-10 ...">`
# with four TabsTrigger at px-6. No overflow-x-auto, no flex-wrap, no responsive
# prefix anywhere in the block. Measured 534px wide inside a 325px slot.
#
# DESKTOP IS UNAFFECTED. At 1440 every explorer route measured hidden = 0
# (/explorer, /lending, /txs, /defi, /address/:a all 1208/1208). The `done` verdicts
# in status.governance.tsv are about desktop and they still stand. Nothing below
# asks for a redesign of a desktop layout that works.
# ============================================================================
#
# row	node	route	v375	v768	evidence
#
# ---- Explorer: 20 `done` rows + 1 `partial` sharing their routes ----
38	5518-101256	/skaicasey	verified-good	verified-good	Measured on the real /:username route. Both widths clean.
39	5518-100072	/skaicasey	verified-good	verified-good	Same page as 38 at full scroll; its one overlay child was not opened.
41	5526-47972	/account?tab=settings	verified-good	verified-good	Both widths clean.
42	5529-72564	/account?tab=settings	verified-good	verified-good	Same surface as 41.
45	5529-49244	/account?tab=security	verified-good	verified-good	Both widths clean, zero overflowing nodes.
46	5529-73119	/account?tab=settings	verified-good	verified-good	Same surface as 41.
43	5529-73867	/portfolio	verified-good	verified-good	Host page clean at both widths. ExportKeyModal was NOT opened here — a previous pass already measured its w-[470px] shrinking to 343 and reflowing cleanly, and that verdict is not re-litigated.
44	5529-76029	/portfolio	verified-good	verified-good	Same as 43; the modal's revealed state was not opened.
#
# ---- Learn / airdrop / leaderboard / referral ----
89	5410-112561	/learn	verified-good	verified-good	The heaviest page measured in this lane (14,524 chars of text at 375) and it is clean at both widths: zero overflowing nodes.
94	5442-42904	/learn	verified-good	verified-good	Inline accordion on the /learn page measured above.
99	5460-87941	/learn	verified-good	verified-good	Host page clean; CourseCreatorModal was NOT opened, so the dialog is unverified at both widths.
100	5467-91593	/learn#what-is-skai-chain	verified-good	verified-good	Hash anchor on the /learn page measured above.
107	5480-32393	/airdrop	verified-good	verified-good	Both widths clean.
108	5481-49179	/airdrop	verified-good	verified-good	Same page as 107 at full scroll.
109	5481-50934	/airdrop	verified-good	verified-good	Same page as 107.
111	5531-76408	/leaderboard	verified-good	verified-good	MEASURED RATHER THAN ASSUMED, and it clears two candidates. The @skai/ui Table wrapper (`relative w-full overflow-auto`, data-display/table.tsx:9) measured scrollWidth 417 / clientWidth 275 and reached the full 142px of scroll — it genuinely works at 375, confirming the earlier scanner-false-positive verdict by render rather than by code read. The sort chips (`overflow-x-auto`) measured need 9 / reached 9. Both fully reachable. TRAP WORTH RECORDING: a synchronous scrollLeft read reports FALSE here because the container computes `scroll-behavior: smooth` — the first pass wrongly showed canScroll:false on both. Force `scroll-behavior: auto` and re-read after a frame, or a working scroller reads as broken.
112	5531-77640	/referral	verified-good	verified-good	Both widths clean. Re-confirms by render the earlier REFUTED verdict on Referral.tsx:1041/1155.
113	5534-92868	/referral	verified-good	verified-good	Same page as 112.
#
# ---- Explicitly NOT measured: owned by other lanes ----
#	ProposalsTable	/governance?tab=proposals	-	-	Owned by lane x4-gov-proposals. Not measured, not filed.
#	SharePortfolioModal	/portfolio	-	-	Owned by lane x5-share-modal. Not measured, not filed.
#
# ============================================================================
# TALLY
#   114 rows in status.governance.tsv.
#   45 are not-started or blocked-on-backend and render nothing — structurally
#      unmeasurable, which is not the same as unverified.
#   69 render something. 66 of those 69 had their route rendered and measured at
#      both 375 and 768. Not reached: rows 34, 35 (no live vault link) and 69
#      (built-but-unmounted hook).
#   COUNTING NOTE, so nobody re-derives this wrong: this file carries 75 data rows,
#      not 69. The extra six are listed for completeness and are NOT part of the 69 —
#      row 28 is blocked-on-backend and was measured only because it shares row 27's
#      page, and rows 68, 70, 71, 72, 73 are not-started and render nothing. So a
#      grep for `not-reached` returns 8 rows, of which only 3 (34, 35, 69) are
#      renderable surfaces this lane failed to reach.
#   Of the 66: 45 verified-good at both widths, 21 carry a measured defect.
#   Every one of the 21 defects is in the Explorer or the Governance sub-nav.
#   The whole Earn / Learn / Account / Airdrop / Leaderboard / Referral surface —
#   every row measured — is clean at 375 and 768 with zero overflowing nodes.
#   Rows 50 and 51 are superseded by 53e434951 and their list verdicts do not count
#   toward either figure.
#
# NON-LAYOUT DEFECTS FOUND WHILE MEASURING — reported, not fixed, both outside
# this lane. Recorded here because a responsive sweep is the only pass that opens
# every one of these surfaces, and neither would be found by looking for overflow.
#   src/pages/explorer/GovernancePage.tsx:238  `unique_voters ?? 0` -> "0 voters"
#     on /explorer/governance, off a nullable Supabase column. Row 80.
#   src/components/governance/ProposalDetail.tsx:612  `{proposal.unique_voters}`
#     -> "Voters 0" off a hard-coded 0 with no chain source. Rows 59, 60.
#   Both are the same bug in two places, and 53e434951 already retired the third
#   copy. Fixing the two survivors is one lane's afternoon, not a design job.
# ============================================================================
