# key	status	primaryFile	route	reason	bp
# Lane wallet, wave 41 (second batch), 2026-09-13. Owns modules/skai-wallet/src/** (not BridgeModal.tsx, not
# swapSheetContainerRamp.test.tsx). 95 frames in the order, all rowed here. NO BROWSER WAS USED, so no cell in
# column 6 says done: `done` in column 2 means the source was resolved against the node data read live this pass
# on every axis the frame draws and none differ; column 6 carries the frame's own width at `partial` with the
# reason ending "Not rendered". 34 frames were opened on the Figma MCP this pass in three bursts (16 with design
# context, 11 board metadata, 2 row nodes with design context, plus 7473-131013 and the two row nodes outside the
# order); every number below was read off the node named beside it unless the row says NOT RE-READ, in which case
# the verdict is carried from the newest standing row and says whose. The bridge rows stay on their standing
# verdicts: the four frame-defects keep that verdict (it is about the frame) and the six partials become
# blocked-on-backend because the predeploy is bricked and BridgeModal.tsx was off-limits.
# Commits: skai-wallet 68b8828, ae24bca, ace8a0f, d35aa2c, ab83aea, 853ea7d, 62b6e8b, 572793b. Reads spanned 09-13
# and 09-14; the stamp keeps the pass date. Rows that say READ (metadata, 09-14) were opened after the peer's
# overnight commits (28c7dfd..063ac4a) and say where those commits already answer the board.
# TWO FINDINGS THAT TRAVEL: (1) every auth field in the wallet drew 2px taller than its board because a CSS border
# sits outside the inset where Figma's stroke sits inside it - UnlockForm, RecoveryField, EmailAuthFlow and the NFT
# import fields all carried it; the fix is a stated height with box-border. (2) the OTP screen is SKAI's own modal,
# not thirdweb's, and the same instance is drawn on the recovery boards at all three widths.
Skai > Wallet > continue on web > home > bridge > bridge settings 1VH (768 x 1024px) [13008-49026]	frame-defect	modules/skai-wallet/src/components/wallet/bridge/BridgeSettingsPanel.tsx	/ -> openModal(bridge) -> gear	NOT RE-READ; carried from wave 9. Frame 1101 at r16 against three same-width siblings at r12 and a second stray, 49035 "Frame 269" 680x244 r24 p16 gap32 on a 768 board whose Main container is 580 - 1440 geometry inside a 768 column. The bridge itself is bricked (predeploy bricked, punted) and its files were off-limits this wave.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (1440 x 900px) [7491-148345]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ. RULED 2026-09-04: this "home - skin 2" share family is SUPERSEDED by 13008-30018 / 13008-51352 / 13008-45556 (a two-switch Include list against the three-state board the app implements); do not implement it. Row stands only so the supersession is visible.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (375 x 812px) [7774-62886]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ. Superseded by 13008-51352 by the 2026-09-04 ruling; see 7491-148345.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (375 x 812px) [7774-63646]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ. Superseded by 13008-51352 by the 2026-09-04 ruling; see 7491-148345.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (768 x 1024px) [7709-10525]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ. Superseded by 13008-45556 by the 2026-09-04 ruling; see 7491-148345. The implementing file is ShareCard.tsx, not WalletHomeRoute as the work order says.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (768 x 1024px) [7713-13706]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	NOT RE-READ. Superseded by 13008-45556 by the 2026-09-04 ruling; see 7491-148345.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 2 1VH (768 x 1024px) [7704-47027]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; a skin variant of the 768 home (the net-worth card's background), layout 7704-46353's. Not compared.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 3 (1440 x 900px) [3123-3046]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; the only 1440 home-skin board in the assignment; the 1440 home is measured on 13008:26985. Not compared.	1440=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin 3 1VH (768 x 1024px) [7713-13398]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; see 7704-47027.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin2 1VH (375 x 812px) [8370-73407]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; the 375 composition is the background of every 375 board read this pass (7871:20688, 7882:20079): Main container 346 at (15,64); streak 346x48 p12 (24 glyph, 12/16 title + 12/14 sub inline, 16 chevron); net worth 346x222 p12 (a 32 header with a 150x32 wallet pill; 20/24 value + 24 mark; 12/14 change; two 32x32 buttons; two rows of two 157x44 CTAs on 8); quick actions 346x170 p12 (14/18 title + 77x16 link; five 58x44 actions on 8, a 24 mark over 12/14, then four more); section tabs row 44-46. Measured against 13008:40895 by earlier waves; not compared here.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin2 1VH (375 x 812px) [7774-68711]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; see 8370-73407.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home - skin2 1VH (375 x 812px) [7774-70768]	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; see 8370-73407.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > Activity 1VH (375 x 812px) [7882-20079]	partial	modules/skai-wallet/src/components/wallet/dashboard/ActivityTable.tsx	/activity + / (home tab)	READ (board metadata, the row 8609:126527 with design context) AND BUILT. Section card 346x296 p12: Frame 1129 is 310 wide and SCROLLS a 424 table (the board draws a 4px bar at y=280 and one at x=338); header 10/12 on 125 / 174 / 125; rows are #001615 cards r6 p4 46 tall on 8 above and below the hairline (62 pitch): a 32 box with a 24 circle at y=4 and a 12 badge at (16,0), 14 to the text, name Manrope 12/14 + tag Mulish 10/14, date Mulish 10/12 + 8 dot + "BaseScan" Manrope 10/12 Sky Blue + 16 mark, type tag Mulish 10/14, amount Mulish 12/16 over 10/12. Built: the header and rows share an overflow-x box with a 424 minimum below md, and the base rung above (ab83aea); the bars are the browser's. Same dollar-line hold as 7807-87715. Not rendered.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > Activity 1VH (375 x 812px) [7882-21333]	partial	modules/skai-wallet/src/components/wallet/dashboard/ActivityTable.tsx	/activity + / (home tab) -> row -> transaction sidecar	READ (metadata, 09-14): the activity tab WITH a row opened into the transaction sidecar - Frame 339 359x796 at (8,8), p12: controls 22 ("Sent" 18/22 + 16 close), 24 to a From / To block (12/14 labels, 24 avatars with 12/14 names, a 40 swap mark between), 20 to a list of 12/14 rows on hairlines with 8 above and below (Status with a labels/tag and "View on BaseScan", a 110x24 transaction-id chip with a 16 copy glyph, Nonce, Amount, Gas limit, Gas used, Base fee, Priority fee, then three 28-tall rows with a second $ line), CTA 335x44 at y=740 (12 above the foot). The sidecar was not compared (no file in src draws Nonce / Gas limit rows, so the app's detail drawer draws a different field set). THE TABLE BEHIND IT DISSENTS FROM 7882-20079: Frame 286 here is 500 wide (8554:80620) with 157 / 186 / 157 headers and 48-tall rows holding a 32 circle in a 40 box with a 16 badge - the tablet avatar - where 7882-20079 (8609:126520, the later node set) draws 424 wide, 125 / 174 / 125, 46-tall rows with a 24 circle and a 12 badge. The later set is what is built (ab83aea); this board's row is the one-board dissent. Same dollar-line hold. Not rendered.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > Activity 1VH (768 x 1024px) [7807-87715]	partial	modules/skai-wallet/src/components/wallet/dashboard/ActivityTable.tsx	/activity + / (home tab)	READ (board metadata, the row 8542:33789 with design context) AND BUILT. Section card 580x338 p12/pt24: header 12/14 Ash on a 192 / 172 / 192 split with the hairline 8 below; each row is a #001615 card r8 p8 56 tall with 8 above and below the hairline between rows (72 pitch): a 40 avatar box holding a 32 circle at y=5 and a 20 chain badge at (20,0) ringed 2px in the card's own #001615; 14 to the text: name Manrope 12/16 white + labels/tag "Confirmed" (1px #95A09F, px8 py2, Mulish 12/14 Ash) on 8; 4 below: date Mulish 12/14 Ash, an 8 dot, "BaseScan" Manrope 10/14 Sky Blue, a 16 mark, 6 apart; the type tag on rgba(86,199,243,.16) in Mulish 12/14 Sky Blue; the amount Mulish 14/16 white over "$25.31" Mulish 12/14 Ash 4 below, right-aligned. The table had shipped the desktop reading flat - 14 header, py-12 rows with no card, a 40 circle, 4:1 columns, teal tags, a 14 name. Built at md (ab83aea), the desktop rung untouched because 3118:21935 was not re-read. NOT DRAWN: the dollar line under the amount - TransactionRecord carries value, symbol, status and estimatedFeeUsd and no value-at-the-time, and today's price under a dated row would misstate it. The tabs row and section card are the home's. Not rendered.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > Activity 1VH (768 x 1024px) [7807-88748]	partial	modules/skai-wallet/src/components/wallet/dashboard/ActivityTable.tsx	/activity + / (home tab) -> row -> transaction sidecar	READ (metadata, 09-14): the activity tab with the transaction sidecar open - Frame 337 442x1008 at (318,8), p20: controls 22 ("Sent" 18/22 + 16 close), 24 to the From / To block (12/16 labels, 24 avatars with 14/16 names, a 40 swap mark), 20 to 12/16 rows on hairlines at a 32 pitch (Status + tag, "View on BaseScan", a 121x24 id chip, Nonce, Amount, Gas limit, Gas used, Base fee, Priority fee, three 32-tall two-line rows), CTA 402x50 at y=938. The sidecar was not compared (see 7882-21333: no file in src draws those rows). The table behind it matches 7807-87715 row for row (8542:34111 56-tall cards, 32 circle, 16 badge, 14 gap) and splits its header 188 / 180 / 188 against 87715's 192 / 172 / 192 - a 4px dissent between the two 768 boards; the built split lands 192 / 172 / 192 at 556. Same dollar-line hold. Not rendered.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px) [7808-89289]	partial	modules/skai-wallet/src/components/wallet/tokens/TokenDetailView.tsx	/token/:symbol	READ (metadata) AND ONE DELTA FIXED. Main container 346 at (15,64): back row 32 ("Solana" 20/24 + "SOL" 16/22), 8 to Overview 346x230 p12 (14/18; 12/14 labels over 20/24 values in two 159 columns; CTAs in two rows of two 157x44 on 8 at y=122 / 174), 8 to a COLLAPSED Swap card 346x48 ("Swap" 14/18 with a 24 chevron, 8554:115013 - an accordion), 8 to the chart 346x412, 8 to Token details 346x341, 8 to Market details 346x188, 8 to Your activity 346x342 scrolling a 427 table. FIXED: the top group sat 16 apart at every width; it is 8 on this board (gap-2 md:gap-4). NOT BUILT: the swap accordion - the view mounts the full embedded SwapModal under Overview below lg, and a 48 row that opens it is a state the view does not have. The cards were not re-compared one by one. Not rendered.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px) [8554-115129]	partial	modules/skai-wallet/src/components/wallet/tokens/TokenDetailView.tsx	/token/:symbol	NOT RE-READ; a state of 7808-89289 by title. Carries its 8 gap fix and its swap-accordion hold.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > crypto > sample token (375 x 812px) [7871-18184]	partial	modules/skai-wallet/src/components/wallet/tokens/TokenDetailView.tsx	/token/:symbol	NOT RE-READ; a state of 7808-89289 by title. Carries its 8 gap fix and its swap-accordion hold.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > crypto > sample token (768 x 1024px) [7804-74178]	partial	modules/skai-wallet/src/components/wallet/tokens/TokenDetailView.tsx	/token/:symbol	READ (metadata) block by block; the route's view is TokenDetailView, not WalletTokenDetailRoute. Main container 580 at (94,76): back row 32 (24 glyph, 32 avatar, "Solana" 24/28 + "SOL" 16/22), 16 to Overview 580x201 p12 ("Overview" 14/19; Balance / Price 24H labels 12/16 over 24/28 values with a 24 mark and 12/16 sub-lines in two 276 columns; four 133x50 CTAs on 8 at y=139), 16 to the Swap card 580x524 p12 (a 24 title row with a 24 gear; sell and buy cards 556x122 / 120 with a 40 swap button between; a "Swap summary" rule; three 16-tall rows at a 32 pitch; CTA 556x50), 16 to the chart card 580x559 p12 (27 nav; 556x500 plot with a 55 price rail and a 14 date row), 16 to Token details 580x328, 8 to Market details 580x203, 8 to Your activity 580x365 (the 768 activity row above). The view keeps 16 / 16 / 16 above the chart and 8 / 8 in the group below it, and its cards cite these node ids (7804:75591, 76681, 76694, 76717, 76752) from earlier passes; the cards were not re-compared one by one this pass. Not rendered.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > crypto > sample token > sidecar - swap settings 1VH (768 x 1024px) [7805-80831]	partial	modules/skai-wallet/src/components/SwapModal.tsx	/token/:symbol (swap sidebar)	NOT RE-READ. The swap settings sheet is SwapModal's and was measured on the Wallet 2 boards by wave 37; this Wallet 1 node was not compared to them.	768=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > NFTs - empty  1VH (768 x 1024px) [7882-19831]	done	modules/skai-wallet/src/components/NftDisplay.tsx	/ (home NFT tab)	READ (metadata, 09-14). Title says 768; the node is 375x1000 on the 346 column at (15,64) - the bp cell is the corrected one. Node for node the same tree as 7871-19838 (card 8542:34748 322x74, Frame 177 at (14,12), panel 8542:34756 322x122 at y=118, 304-wide sentence, 161x32 CTA); built to it. Not rendered.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > NFTs - empty > Import NFT 1VH (375 x 812px) [7871-20688]	done	modules/skai-wallet/src/components/NftDisplay.tsx	/ (home NFT tab) -> Import NFT	RE-READ (metadata) AND FIXED. modal 8540:31591 354x564 at (11,124) p12: controls 16; Frame 200 at y=48 = title 22 tall (18/22) over a 32 line (two 14/16) 8 apart; card 8540:31603 330x88 at y=130 (20 below) with Frame 177 at (16,12): "Important:" 18 tall beside the 16 glyph, body 42 (three 12/14) 4 below; three input/primary-inputs 330x70 at 238 / 328 / 418 (20 between blocks); CTAs two 161x44 on 8 at y=508 (20). The modal's block gaps, type ramp and CTA pair already matched (wave 38); the FIELD did not - p-4 plus the CSS 1px stroke drew 50 where the block is 14 + 8 + 48 - fixed to a stated 48 (853ea7d), the parity test re-pinned to the box. Type and colour are the file's 2026-09-08 design-context read of these nodes; this pass re-measured geometry only. The board's Overlay (8540:31590, #001615 at 44% over the whole board) is drawn since the peer's 362b171 (09-14), which also re-pinned the parity test to the stated heights. Not rendered.	375=partial @2026-09-13/wave41-wallet
Skai > Wallet > continue on web > home > NFTs - empty > Import NFT 1VH (768 x 1024px) [7806-83761]	done	modules/skai-wallet/src/components/NftDisplay.tsx	/ (home NFT tab) -> Import NFT	RE-READ (metadata) AND FIXED. modal 8540:31522 448x559 at (160,232.5) p12: controls 16; title 22 over an 18 line (14/18) 8 apart at y=48; card 424x79 at y=116 (20) with Frame 177 at (16,12) 388 wide: "Important:" 19 (Manrope 14 at auto leading) + body 32 (two 12/16); fields 424x74 at 215 / 309 / 403; CTAs two 208x50 on 8 at y=497. Field fixed from 52 to a stated 50 (853ea7d). Same read scope as 7871-20688. Not rendered.	768=partial @2026-09-13/wave41-wallet
