# furniture-overrides.tsv — live nodes that ARE furniture though their name and type say genuine. HAND-MAINTAINED; coverage.mjs reads it.
#
# live/*.tsv records a node's type, size, visibility and name, never its children or text, so a 1080-wide cover poster
# with no UI text, a vector illustration or an empty frame reads as a genuine frame. Earlier lanes READ these nodes and
# filed them `furniture` in the status rows; each row here cites that reading, and coverage.mjs then agrees with it.
# It moves the denominator, so it fails closed: a row without a Figma file key, a node id, a date and evidence citing
# a file:line or a commit is refused and the node stays in; and a row applies only while the node's own newest
# status row still says `furniture`, so re-filing the node in a status table switches its override off.
# Deliberately NOT listed (no recorded read, only a name): 10401-6360, 10758-20769, 11602-21869 (Mines cards on other
# games' pages), 2452-9383 and 2459-9386 (video cuts for an onboarding slot). A board whose own name rejects it
# (11345-146431 'Truncated ALT - NOT recommended') is a rule in coverage.mjs (AUTHOR_REJECTED), not a row here.
#
# Added 2026-09-24 (wave 67, w67-cat-verdicts) from w67-cat-status-b's and w67-cat-status-a's furniture findings.
# fileKey	node	date	evidence
M6r9FEn042UWTQD1zvy6GM	10359-9488	2026-09-24	status.wave41.slots-safari.tsv:98 metadata read: a 195x277 Mines card master filed on the Untamed page; nothing there draws it; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	9680-6277	2026-09-24	status.wave41.games-arcade-a.tsv:57 a 356x621 grouping frame with no fill wrapping the same Auto and Advanced set as 9680-5236; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	9798-13760	2026-09-24	status.wave7.furniture.tsv:54 28x28 with one TEXT '3': one cell of a tray already catalogued as a screen; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
3sSzw1KewMtUbeLAv7uW0r	11100-63268	2026-09-24	status.wave7.furniture.tsv:98 a 532x28 strip of 9 library instances and zero text, lifted out of a screen; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
mhF3BkzlTaGiLzJ7kvpmVc	13006-198774	2026-09-24	status.wave7.trade2-unknown.tsv:52 a 38x12 icons/action atom loose on the canvas beside the boards that use it; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
mhF3BkzlTaGiLzJ7kvpmVc	13006-294291	2026-09-24	status.wave7.trade2-unknown.tsv:53 a 16x16 icons/action atom loose on the canvas beside the boards that use it; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	9903-2037	2026-09-24	status.wave4.games-uncovered.tsv:70 a 37x18 'Undo' label with a library instance, parked on the canvas; the felt's Undo is built (carried by status.wave39.play-cards.tsv:33); classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	9903-2040	2026-09-24	status.wave7.furniture.tsv:56 35x18, one instance and one TEXT 'Clear', the sibling of 9903-2037; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	10359-9369	2026-09-24	status.wave41.slots-safari.tsv:93 metadata read: a 195x276 game-library card art master; the page draws the safari-slots-alt.webp export; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	10359-9167	2026-09-24	status.wave41.slots-safari.tsv:94 metadata read: a 400x566 game-library card art master; the page draws the safari-slots-alt.webp export; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	10688-7138	2026-09-24	status.wave41.slots-vegas.tsv:126 read live 2026-09-14: a 195x276 art source, backdrop crop behind the money-bag sprite; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	10688-7176	2026-09-24	status.wave41.slots-vegas.tsv:127 read live: a 400x566 art source for the ALT cover; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	10688-7225	2026-09-24	status.wave41.slots-vegas.tsv:128 read live 2026-09-14: the 400x566 source the outlaw cover export 10688-7210 is cut from; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
M6r9FEn042UWTQD1zvy6GM	11602-21673	2026-09-24	status.wave41.slots-fisherman.tsv:65 the cover's source composition (backdrop, tint, character parts); the page draws its export fisherman-slots.webp; classified by w67-cat-status-b (LOG-cat-status-b.md step 4)
3sSzw1KewMtUbeLAv7uW0r	10767-308179	2026-09-24	status.wave54.onboarding-landing.tsv:44 live page read: a SECTION 'Multiples' 532x454 holding only three CTA/button instances, a swatch of that component; reported by w67-cat-status-a
