file	line	row	before	after
status.wave29.g-roulette.tsv	43	Skai > Play > Casino > Scratchers (1440 	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	44	Skai > Play > Casino > Blackjack (375 x 	mobile=fixed @2026-09-06/wave29-g-roulette	mobile=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	45	Starting [9948-22956]	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	46	Frame 1000004250 [9903-1602 via 9903-203	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	48	Desktop [9815-19487]	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	49	Desktop [9799-19202]	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave29.g-roulette.tsv	50	Desktop [9820-20610]	desktop=fixed @2026-09-06/wave29-g-roulette	desktop=renders @2026-09-06/wave29-g-roulette
status.wave30.social-post.tsv	56	Skai > Social > Sample post / token (375	desktop=unmounted tablet=unmounted mobile=unmounted	desktop=missing tablet=missing mobile=missing
status.wave30.social-post.tsv	57	Skai > Social > Sample post / token (768	desktop=unmounted tablet=unmounted mobile=unmounted	desktop=missing tablet=missing mobile=missing
status.wave30.social-post.tsv	58	Skai > Social > Sample post / token 1VH 	desktop=unmounted tablet=unmounted mobile=unmounted	desktop=missing tablet=missing mobile=missing
status.wave30.social-post.tsv	59	SRP - bottom - Comments - holder [9636-2	desktop=unmounted tablet=unmounted mobile=unmounted	desktop=missing tablet=missing mobile=missing
status.wave30.social-post.tsv	60	SRP - bottom - Holders / Activity / Deta	desktop=unmounted tablet=unmounted mobile=unmounted	desktop=missing tablet=missing mobile=missing
status.wave30.social-post.tsv	61	Skai > Social > Sample post / token - ma	desktop=n/a tablet=unmounted mobile=unmounted	desktop=n-a tablet=missing mobile=missing
status.wave30.social-post.tsv	62	Skai > Social > Sample post / token - ma	desktop=n/a tablet=unmounted mobile=unmounted	desktop=n-a tablet=missing mobile=missing
status.wave30.social-post.tsv	63	Skai > Social > Sample creator profile >	desktop=blocked tablet=blocked mobile=blocked	desktop=unknown tablet=unknown mobile=unknown
status.wave30.social-post.tsv	64	Skai > Social > Sample creator profile >	desktop=blocked tablet=blocked mobile=blocked	desktop=unknown tablet=unknown mobile=unknown
status.wave30.social-post.tsv	65	Skai > Social > Sample creator profile >	desktop=blocked tablet=blocked mobile=blocked	desktop=unknown tablet=unknown mobile=unknown
status.wave25.play-casino-a.tsv	85	Skai > Play > Casino > Crash (1440 x 9	desktop done|tablet done|mobile partial	desktop=done tablet=done mobile=partial
status.wave25.play-casino-a.tsv	86	Skai > Play > Casino > Crash (768 x 10	tablet done	tablet=done
status.wave25.play-casino-a.tsv	87	Desktop [9142-18315]	unknown	
status.wave25.play-casino-a.tsv	88	Skai > Play > Casino > Blackjack (1440	desktop done|tablet done|mobile done	desktop=done tablet=done mobile=done
status.wave25.play-casino-a.tsv	89	Skai > Play > Casino > Blackjack (375 	mobile partial	mobile=partial
status.wave25.play-casino-a.tsv	90	Skai > Play > Casino > Scratchers (144	desktop done|tablet done|mobile done	desktop=done tablet=done mobile=done
status.wave25.play-casino-a.tsv	91	Skai > Play > Casino > Blackjack (375 	mobile partial	mobile=partial
status.wave28.trade2-trench-b.tsv	15	Boost status [13006-252687]	blocked	
status.wave29.g-dice.tsv	24	Desktop Full Game Multiplier [9069-237	desktop 1440	desktop=done
status.wave29.g-dice.tsv	25	Desktop Full Game Roll Over [9069-1458	desktop 1440	desktop=done
status.wave29.g-dice.tsv	26	Desktop Full Game Win Chance [9069-225	desktop 1440	desktop=done
status.wave29.g-dice.tsv	27	Desktop Pre Game [9069-959]	desktop 1440	desktop=partial
status.wave29.g-dice.tsv	28	Desktop Full Game [9069-859]	desktop 1440	desktop=partial
status.wave29.g-dice.tsv	29	Desktop Full Game Adjusted Slider [906	desktop 1440	desktop=partial
status.wave29.g-dice.tsv	30	Desktop First Roll [9069-1141]	desktop 1440	desktop=partial
status.wave29.g-towers.tsv	2	Selection mid game - hover [10120-1174	1440 measured	desktop=done
status.wave29.g-towers.tsv	3	Easy Loss reveal [10120-13280]	1440 measured	desktop=done
status.wave29.g-towers.tsv	4	skull 1 [10120-13343]	1440 measured	desktop=done
status.wave29.g-towers.tsv	5	Frame 1000004082 [10120-8434]	1440 measured	desktop=done
status.wave29.g-towers.tsv	6	Frame 270 [10130-13720]	1440 measured	desktop=partial
status.wave29.g-towers.tsv	7	Frame 1000004105 [10130-14013]	1440 measured	desktop=partial
status.wave29.g-towers.tsv	8	Frame 1000004292 [10130-14946]	375 measured	mobile=partial
status.wave29.g-towers.tsv	9	Frame 1000004291 [10130-14802]	375 measured	mobile=partial
status.wave29.g-towers.tsv	10	Cashout button [10893-5451]	1440 measured	desktop=partial
status.wave29.g-towers.tsv	11	Easy cashout [10130-13627]	1440 measured	desktop=partial
status.wave29.g-towers.tsv	12	Frame 1000004293 [10130-15152]	-	desktop=n-a tablet=n-a mobile=n-a
