# bug-node-index.tsv - LAYER D: every Figma node-id referenced by an OPEN bug report,
# resolved to {type, name, depth, owning screen, page, catalog section}.
#
# Built 2026-08-13 from: open bug_reports (status in new/needs_info/backlog/reopened/in_progress)
# with a non-empty figma_link -> 488 reports / 445 distinct links / 430 distinct (fileKey,node) pairs.
# Resolution method: figma.getNodeByIdAsync(id), then walk .parent to the PAGE and record the
# last node before it as the owning screen. This is the layer-D method CATALOG_DESIGN.md specifies.
#
# WHY THIS FILE EXISTS: the catalog indexes top-level children of a page (whole screens), but
# reporters link to the thing that is wrong - a panel, modal or button nested 1-12 levels deep.
# Before this file, 332 of 430 bug-linked nodes (77%) resolved to nothing in the catalog.
#
# status column:
#   screen   = the link points at a catalogued top-level screen (depth 0)
#   child    = a descendant of a catalogued screen, resolved in the file the link named
#   retarget = resolved in a DIFFERENT file than the link named - the link file key is STALE.
#              Use resolvedFileKey, not linkFileKey. See FILE_ROUTING.md.
#   alias    = already covered by a bugref-aliases.tsv row
#   gone     = resolves in NEITHER product file NOR the Games file. Deleted upstream in Figma.
#              Verified twice, via getNodeByIdAsync and via get_metadata. Do not treat these as
#              a coverage gap and do not go looking for them - the design node no longer exists.
#
# 2026-08-13 CORRECTION (wave-4 trench lane): four rows below were marked `alias` onto
#   parents 9899-106438 / 9896-104373 / 9893-94731. Those PARENTS do not resolve either.
#   Probed with figma.getNodeByIdAsync on BOTH product files, with 13006-212012 /
#   13006-210578 as a positive control (both found, page '✅ Trade 2'). All seven ids
#   returned null in both files, so 9899-106439 / 9899-106541 / 9902-114827 /
#   9902-115168 are now `gone`. An `alias` row whose target is itself dead sends the
#   next reader looking for a frame that does not exist.
# depth = levels between the referenced node and its owning screen (0 = the screen itself).
# openRefs = number of OPEN bug reports pointing at this (linkFileKey,node) pair.
#
refNode	linkFileKey	resolvedFileKey	status	section	type	name	depth	page	owningScreenNode	owningScreenTitle	openRefs
2713-4510	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	modal	2	✅ Home 1	2713-4425	Skai > Home - welcome > onboarding Qs - load effect > Quests 1VH (1440 x 900px)	2
2735-25302	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	Frame 41	4	✅ Home 1	2735-25298	Skai > Home > Add > upload image 1VH (1440 x 900px)	2
5778-33823	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 344	2	✅ Home 1	5778-29088	Skai > Home - welcome > onboarding Qs - with default PFP 1 1VH (1440 x 900px)	2
4911-89072	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	content	0	✅ Play	4911-89072	content	2
4911-89419	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > My bets - with values (1440 x 900px)	0	✅ Play	4911-89419	Skai > Play > Sportsbook > My bets - with values (1440 x 900px)	2
4914-99876	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook - right sidepanel / betslip 1VH (1440 x 900px)	0	✅ Play	4914-99876	Skai > Play > Sportsbook - right sidepanel / betslip 1VH (1440 x 900px)	2
3538-22737	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3538-22735	Skai > Predict > Crypto (1440 x 900px)	2
3546-25570	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3546-25568	Skai > Predict > Finance (1440 x 900px)	2
8575-81619	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Header-two-layer - with line divider	0	✅ Predict	8575-81619	Header-two-layer - with line divider	2
8583-127821	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	8583-127820	Skai > Predict 1VH (1440 x 900px)	2
8583-128098	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	Frame 403	2	✅ Predict	8583-127820	Skai > Predict 1VH (1440 x 900px)	2
8610-163972	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict (1440 x 900px)	0	✅ Predict	8610-163972	Skai > Predict (1440 x 900px)	2
8909-136859	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	sidebar - open - predict	1	✅ Predict	3538-22735	Skai > Predict > Crypto (1440 x 900px)	2
3928-65734	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade	FRAME	Frame 6	3	✅ Trade 1	3903-21478	Skai > Trade > Perpetual futures 1VH (1440 x 900px)	2
3928-76140	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade	FRAME	main	1	✅ Trade 1	3903-24462	Skai > Trade > Perpetual futures (1440 x 900px)	2
9780-156254	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	alias	trade	(alias)		1	✅ Trade 1	9042-164814	Skai > Trade > Spot - full 1VH (768 x 1024px)	2
13006-135564	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	INSTANCE	CTA/button	5	✅ Trade 2	13006-134301	Skai > Trench 1VH (1440 x 900px)	2
13006-146236	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Frame 337	3	✅ Trade 2	13006-146233	Skai > Launch 1VH (1440 x 900px)	2
13006-158489	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Right menu	1	✅ Trade 2	13006-155671	Skai > Trench > Display settings 1VH (1440 x 900px)	2
13006-165048	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Right menu	1	✅ Trade 2	13006-162230	Skai > Trench > Hotkeys 1VH (1440 x 900px)	2
13006-219554	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	trade-2	FRAME	Right menu	1	✅ Trade 2	13006-217349	Skai > Trench > Trade > Instant trade settings 1VH (1440 x 900px)	2
7482-144845	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	wallet	FRAME	modal	2	✅ Wallet 1	7482-144645	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Keystone 1VH (1440 x 900px)	2
7491-148664	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	wallet	FRAME	Main container	2	✅ Wallet 1	7491-148345	Skai > Wallet > continue on web > home - skin 2 > Share net worth 1VH (1440 x 900px)	2
13008-36597	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	wallet-2	FRAME	search tokens	3	✅ Wallet 2	13008-36562	Skai > Wallet > continue on web > home > request with QR - step 1 1VH (1440 x 900px)	2
3154-4650	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-4920	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-4968	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-5282	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-5308	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-5577	3sSzw1KewMtUbeLAv7uW0r		gone								1
3154-5581	3sSzw1KewMtUbeLAv7uW0r		gone								1
3161-19177	3sSzw1KewMtUbeLAv7uW0r		gone								1
3161-3785	3sSzw1KewMtUbeLAv7uW0r		gone								1
3161-4082	3sSzw1KewMtUbeLAv7uW0r		gone								1
3161-4184	3sSzw1KewMtUbeLAv7uW0r		gone								1
3164-22302	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	alias		(alias)		1		3163-21998		1
3164-22925	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	alias		(alias)		1		3164-22754		1
3166-25085	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	alias		(alias)		1		3166-24676		1
4026-53897	3sSzw1KewMtUbeLAv7uW0r		gone								1
4026-56337	3sSzw1KewMtUbeLAv7uW0r		gone								1
4141-59573	3sSzw1KewMtUbeLAv7uW0r		gone								1
4341-23128	3sSzw1KewMtUbeLAv7uW0r		gone								1
4414-84461	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-102582	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-104542	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-106436	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-90854	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-91869	3sSzw1KewMtUbeLAv7uW0r		gone								1
4423-94942	3sSzw1KewMtUbeLAv7uW0r		gone								1
4437-116944	3sSzw1KewMtUbeLAv7uW0r		gone								1
5965-54827	3sSzw1KewMtUbeLAv7uW0r		gone								1
6001-56374	3sSzw1KewMtUbeLAv7uW0r		gone								1
6244-46760	3sSzw1KewMtUbeLAv7uW0r		gone								1
6244-77476	3sSzw1KewMtUbeLAv7uW0r		gone								1
6244-92568	3sSzw1KewMtUbeLAv7uW0r		gone								1
7528-156353	3sSzw1KewMtUbeLAv7uW0r		gone								1
7528-159211	3sSzw1KewMtUbeLAv7uW0r		gone								1
7532-161697	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	alias		(alias)		1		3163-21315		1
7532-161713	3sSzw1KewMtUbeLAv7uW0r		gone								1
7816-50391	3sSzw1KewMtUbeLAv7uW0r		gone								1
7816-50723	3sSzw1KewMtUbeLAv7uW0r		gone								1
7838-54566	3sSzw1KewMtUbeLAv7uW0r		gone								1
7909-47219	3sSzw1KewMtUbeLAv7uW0r		gone								1
8050-140510	3sSzw1KewMtUbeLAv7uW0r		gone								1
8092-153942	3sSzw1KewMtUbeLAv7uW0r		gone								1
8092-154055	3sSzw1KewMtUbeLAv7uW0r		gone								1
8110-175712	3sSzw1KewMtUbeLAv7uW0r		gone								1
8200-50476	3sSzw1KewMtUbeLAv7uW0r		gone								1
8489-65908	3sSzw1KewMtUbeLAv7uW0r		gone								1
8489-65970	3sSzw1KewMtUbeLAv7uW0r		gone								1
8489-68524	3sSzw1KewMtUbeLAv7uW0r		gone								1
8489-68562	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-107515	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-33199	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-34777	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-34859	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-43360	3sSzw1KewMtUbeLAv7uW0r		gone								1
8493-43383	3sSzw1KewMtUbeLAv7uW0r		gone								1
9225-85196	3sSzw1KewMtUbeLAv7uW0r		gone								1
9346-97041	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	alias		(alias)		1		9346-96983		1
9695-96107	3sSzw1KewMtUbeLAv7uW0r		gone								1
9899-106439	3sSzw1KewMtUbeLAv7uW0r		gone								1
9899-106541	3sSzw1KewMtUbeLAv7uW0r		gone								1
9902-114827	3sSzw1KewMtUbeLAv7uW0r		gone								1
9902-115168	3sSzw1KewMtUbeLAv7uW0r		gone								1
9003-117339	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	main	1	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9003-117609	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	Frame 27	6	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9003-117620	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	Cards ALT - Chicken	8	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9003-117732	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	Main container	4	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9003-117914	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	main	6	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9178-8257	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	Desktop	6	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9178-9690	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	blackjack	FRAME	Frame 1000004041	5	✅ Blackjack - Skai originals	9003-117337	Skai > Play > Casino > Blackjack (1440 x 900px)	1
9003-130681	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	coinflip	FRAME	Frame 1000004013	6	✅ Coinflip - Skai originals	9003-130613	Skai > Play > Casino > Coinflip (1440 x 900px)	1
9003-130717	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	coinflip	FRAME	Frame 275	8	✅ Coinflip - Skai originals	9003-130613	Skai > Play > Casino > Coinflip (1440 x 900px)	1
9003-130774	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	coinflip	FRAME	Desktop	6	✅ Coinflip - Skai originals	9003-130613	Skai > Play > Casino > Coinflip (1440 x 900px)	1
9003-131096	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	coinflip	FRAME	main	6	✅ Coinflip - Skai originals	9003-130613	Skai > Play > Casino > Coinflip (1440 x 900px)	1
9003-94118	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	main	1	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9003-94120	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	Frame 629	3	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9003-94795	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	section	5	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9003-94920	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	Main container	4	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9003-95028	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	FRAME	Main container	4	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9137-13564	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	screen	crash	(catalogued frame)	Extended LB	0	✅ Crash - Skai originals	9137-13564	Extended LB	1
9142-16809	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	screen	crash	(catalogued frame)	Auto	0	✅ Crash - Skai originals	9142-16809	Auto	1
9142-19197	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	screen	crash	(catalogued frame)	Auto Advanced	0	✅ Crash - Skai originals	9142-19197	Auto Advanced	1
9142-19613	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	crash	GROUP	Group 290	7	✅ Crash - Skai originals	9003-94116	Skai > Play > Casino > Crash (1440 x 900px)	1
9003-43516	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	screen	dice	(catalogued frame)	Skai > Play > Casino > Dice (1440 x 900px)	0	✅ Dice - Skai originals	9003-43516	Skai > Play > Casino > Dice (1440 x 900px)	1
9003-43519	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	dice	FRAME	Frame 520	2	✅ Dice - Skai originals	9003-43516	Skai > Play > Casino > Dice (1440 x 900px)	1
2713-4053	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	main	1	✅ Home 1	2713-4052	Skai > Home - welcome > onboarding Qs - 1 1VH (1440 x 900px)	1
2713-4179	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	(catalogued frame)	Skai > Home - welcome 1VH (1440 x 900px)	0	✅ Home 1	2713-4179	Skai > Home - welcome 1VH (1440 x 900px)	1
2713-4363	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	main	1	✅ Home 1	2713-4362	Skai > Home - welcome - end CTA 1VH (1440 x 900px)	1
2713-4369	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	INSTANCE	Header-desktop	1	✅ Home 1	2713-4362	Skai > Home - welcome - end CTA 1VH (1440 x 900px)	1
2713-4541	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	INSTANCE	Badges150	4	✅ Home 1	2713-4425	Skai > Home - welcome > onboarding Qs - load effect > Quests 1VH (1440 x 900px)	1
2713-4556	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	Frame 166	6	✅ Home 1	2713-4425	Skai > Home - welcome > onboarding Qs - load effect > Quests 1VH (1440 x 900px)	1
2713-4563	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	content	5	✅ Home 1	2713-4425	Skai > Home - welcome > onboarding Qs - load effect > Quests 1VH (1440 x 900px)	1
2713-4828	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	INSTANCE	Header-desktop	1	✅ Home 1	2713-4800	Skai > Home 1VH (1440 x 900px)	1
2752-5211	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	modal	2	✅ Home 1	2752-4678	Skai > Home > Portfolio > Add wallet 1VH (1440 x 900px)	1
2760-12291	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	INSTANCE	icons/tiers	5	✅ Home 1	2760-12240	Skai > Home > Portfolio (1440 x 900px)	1
2764-14163	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	dropdown-3	2	✅ Home 1	2764-13970	Skai > Home > Portfolio - invisible 1VH (1440 x 900px)	1
2770-16333	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 298	3	✅ Home 1	2770-16271	Skai > Home > Portfolio > Tiers 1VH (1440 x 900px)	1
2773-7536	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	main	1	✅ Home 1	2773-7535	Skai > Home > Portfolio > Tiers (1440 x 900px)	1
2853-9727	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	section	2	✅ Home 1	2853-9675	Skai > Home > Portfolio > Badges (1440 x 900px)	1
2899-15849	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	section	2	✅ Home 1	2899-15797	Skai > Home > Portfolio > Vault 1VH (1440 x 900px)	1
3346-32028	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	screen	home	(catalogued frame)	Skai > Home 1VH - query - focus 1VH (1440 x 900px)	0	✅ Home 1	3346-32028	Skai > Home 1VH - query - focus 1VH (1440 x 900px)	1
5778-33822	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 337	1	✅ Home 1	5778-29088	Skai > Home - welcome > onboarding Qs - with default PFP 1 1VH (1440 x 900px)	1
5778-33830	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	content	5	✅ Home 1	5778-29088	Skai > Home - welcome > onboarding Qs - with default PFP 1 1VH (1440 x 900px)	1
5778-33835	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	backgrounds	4	✅ Home 1	5778-29088	Skai > Home - welcome > onboarding Qs - with default PFP 1 1VH (1440 x 900px)	1
5812-127629	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	main	1	✅ Home 1	5812-123481	Skai > Home > AI Feed > Market intel 1VH (1440 x 900px)	1
5812-127683	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	section	2	✅ Home 1	5812-123481	Skai > Home > AI Feed > Market intel 1VH (1440 x 900px)	1
5854-62644	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	Right menu	1	✅ Home 1	5854-51123	Skai > Home > AI Feed > Market intel > Manage intel 1VH (1440 x 900px)	1
5854-81627	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	card	4	✅ Home 1	5854-80845	Skai > Home > AI Feed - empty 1VH (1440 x 900px)	1
5902-146338	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 288	5	✅ Home 1	5902-145290	Social - empty	1
5902-147818	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	(catalogued frame)	Tier hover - Gold locked	0	✅ Home 1	5902-147818	Tier hover - Gold locked	1
6250-92939	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	Frame 221	2	✅ Home 1	6250-92865	sidebar - open - group chats	1
6250-93271	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	dropdown-3	1	✅ Home 1	6250-93084	Skai > Home - sidebar normal > Group chats 1VH (1440 x 900px)	1
6250-93707	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Top main	1	✅ Home 1	6250-93706	sidebar - open - group chats - grouped	1
6250-94274	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home	FRAME	modal	2	✅ Home 1	6250-93916	Skai > Home - sidebar normal > Group chats > Folder name 1VH (1440 x 900px)	1
6415-45116	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	INSTANCE	logos/skai-icon	2	✅ Home 1	6415-45113	Skai > Home 1VH (375 x 812px)	1
6415-45117	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	INSTANCE	Header-mobile	1	✅ Home 1	6415-45113	Skai > Home 1VH (375 x 812px)	1
